ARC DT

Purchase Bills
Vendor:,All Vendors
Tax%:,All Taxes
From Date:,08/01/2019
To Date:,31/08/2019
Tax Component Break Up:,No
UOM:,Base UOM
Bill ID,Bill Date,CreditTerm,Payment Date,InvoiceReference,Vendor,Gross Amount,Tax Amount,Trade Discount%,Trade Discount Amount,Inv Disc% Total,Inv Disc/Unit Total,Othr Disc% Total,Othr Disc/Unit Total,Product Discount Amount,Adjustment Amount,Adjusted Amount,Net Amount,GRNID,GRN DATE,Status,Original Bill,Branch,ST,CST,Tax Type,GSTINOfVendor,FromStatecode,ToStatecode,ODNumber,Item Code,Item Name,Batch,Expiry,UOM,Quantity,PFM,Net PTS,Original PTS,PTR,MRP Per Pack,Goods Value,Gross Amount,Total Discount%,Total Discount/Unit,Inv Disc%,Inv Disc% Amt,Inv Disc/Unit,Inv Disc/Unit Amt,Inv Disc Total,Othr Disc%,Othr Disc% Amt,Othr Disc/Unit,Othr Disc/Unit Amt,Othr Disc Total,Product Discount Amount,Surcharge,Tax Suffered,Tax Amount,Total,HSNCode
B1,07/08/2019,Credit 0 days,07/08/2019,21075631,ITC LIMITED,392250.00,19063.35,0.00,0.00,0.00,0.00,10983.00,0.00,10983.00,0.00,0.00,400330.35,G1,7/8/2019,Open,,,,,Intra,33AAACI5950L1ZH,33,33,D33D120100001364,FD2125N,AASHIRVAAD ATTA-1KG SELECT_FD2125N,06A300719-30,,KG,1500.00,45.80,44.52,45.80,47.17,60.00,68700.00,66776.40,2.80,0.00,0.00,0.00,0.00,0.00,0.00,2.80,1923.60,0.00,0.00,1923.60,1923.60,0.00,0.00,3338.82,70115.22,1101
B1,07/08/2019,Credit 0 days,07/08/2019,21075631,ITC LIMITED,392250.00,19063.35,0.00,0.00,0.00,0.00,10983.00,0.00,10983.00,0.00,0.00,400330.35,G1,7/8/2019,Open,,,,,Intra,33AAACI5950L1ZH,33,33,D33D120100001364,FD2126N,AASHIRVAAD ATTA-5KG SELECT_FD2126N,06A300719-40,,KG,450.00,45.34,44.07,45.34,46.70,290.00,20403.00,19831.72,2.80,0.00,0.00,0.00,0.00,0.00,0.00,2.80,571.28,0.00,0.00,571.28,571.28,0.00,0.00,991.59,20823.30,1101
B1,07/08/2019,Credit 0 days,07/08/2019,21075631,ITC LIMITED,392250.00,19063.35,0.00,0.00,0.00,0.00,10983.00,0.00,10983.00,0.00,0.00,400330.35,G1,7/8/2019,Open,,,,,Intra,33AAACI5950L1ZH,33,33,D33D120100001364,FD2126NC,ASVD SELECT ATTA 5KG+CLEANING CLFR_FD2126NC,06A220719-50,,KG,1050.00,45.34,44.07,45.34,46.70,290.00,47607.00,46274.00,2.80,0.00,0.00,0.00,0.00,0.00,0.00,2.80,1333.00,0.00,0.00,1333.00,1333.00,0.00,0.00,2313.70,48587.70,1101
B1,07/08/2019,Credit 0 days,07/08/2019,21075631,ITC LIMITED,392250.00,19063.35,0.00,0.00,0.00,0.00,10983.00,0.00,10983.00,0.00,0.00,400330.35,G1,7/8/2019,Open,,,,,Intra,33AAACI5950L1ZH,33,33,D33D120100001364,FH2112T,AASHIRVAAD SUPERIOR MP ATTA 5KGTPR_FH2112T,06B300719-60,,KG,720.00,42.59,41.40,42.59,43.86,255.00,30664.80,29806.19,2.80,0.00,0.00,0.00,0.00,0.00,0.00,2.80,858.61,0.00,0.00,858.61,858.61,0.00,0.00,1490.31,31296.49,1101
B1,07/08/2019,Credit 0 days,07/08/2019,21075631,ITC LIMITED,392250.00,19063.35,0.00,0.00,0.00,0.00,10983.00,0.00,10983.00,0.00,0.00,400330.35,G1,7/8/2019,Open,,,,,Intra,33AAACI5950L1ZH,33,33,D33D120100001364,FH2112T,AASHIRVAAD SUPERIOR MP ATTA 5KGTPR_FH2112T,06B020819-70,,KG,5280.00,42.59,41.40,42.59,43.86,255.00,224875.20,218578.69,2.80,0.00,0.00,0.00,0.00,0.00,0.00,2.80,6296.51,0.00,0.00,6296.51,6296.51,0.00,0.00,10928.93,229507.63,1101
B1,07/08/2019,Credit 0 days,07/08/2019,21075631,ITC LIMITED,392250.00,19063.35,0.00,0.00,0.00,0.00,10983.00,0.00,10983.00,0.00,0.00,400330.35,G1,7/8/2019,Open,,,,,Intra,33AAACI5950L1ZH,33,33,D33D120100001364,GrandTotal:,,,,,9000.00,221.66,215.45,221.66,228.29,1150.00,392250.00,381267.00,14.00,0.00,0.00,0.00,0.00,0.00,0.00,14.00,10983.00,0.00,0.00,10983.00,10983.00,0.00,0.00,19063.35,400330.35
B2,07/08/2019,Credit 0 days,07/08/2019,21070214,ITC LIMITED,395910.00,19241.23,0.00,0.00,0.00,0.00,11085.48,0.00,11085.48,0.00,0.00,404065.75,G2,7/8/2019,Open,,,,,Intra,33AAACI5950L1ZH,33,33,D33D120100001366,FD2113TT,AASHIRVAAD SUPERIOR MP ATTA 1KGTPR_FD2113TT,06B030819-20,,KG,9000.00,43.99,42.76,43.99,45.31,55.00,395910.00,384824.52,2.80,0.00,0.00,0.00,0.00,0.00,0.00,2.80,11085.48,0.00,0.00,11085.48,11085.48,0.00,0.00,19241.23,404065.75,1101
B2,07/08/2019,Credit 0 days,07/08/2019,21070214,ITC LIMITED,395910.00,19241.23,0.00,0.00,0.00,0.00,11085.48,0.00,11085.48,0.00,0.00,404065.75,G2,7/8/2019,Open,,,,,Intra,33AAACI5950L1ZH,33,33,D33D120100001366,GrandTotal:,,,,,9000.00,43.99,42.76,43.99,45.31,55.00,395910.00,384824.52,2.80,0.00,0.00,0.00,0.00,0.00,0.00,2.80,11085.48,0.00,0.00,11085.48,11085.48,0.00,0.00,19241.23,404065.75
B3,07/08/2019,Credit 0 days,07/08/2019,21077286,ITC LIMITED,1091.30,189.95,0.00,0.00,0.00,0.00,36.01,0.00,36.01,0.00,0.00,1245.24,G3,7/8/2019,Open,,,,,Intra,33AAACI5950L1ZH,33,33,C33AE20100028576,PSVSO0045,Savlon Fresh+Protect Soap 45g_PSVSO0045,900651118-1220,,KG,6.48,168.41,162.85,168.41,174.37,10.00,1091.30,1055.28,3.30,0.00,0.00,0.00,0.00,0.00,0.00,3.30,36.01,0.00,0.00,36.01,36.01,0.00,0.00,189.95,1245.24,3401 11 90
B3,07/08/2019,Credit 0 days,07/08/2019,21077286,ITC LIMITED,1091.30,189.95,0.00,0.00,0.00,0.00,36.01,0.00,36.01,0.00,0.00,1245.24,G3,7/8/2019,Open,,,,,Intra,33AAACI5950L1ZH,33,33,C33AE20100028576,GrandTotal:,,,,,6.48,168.41,162.85,168.41,174.37,10.00,1091.30,1055.28,3.30,0.00,0.00,0.00,0.00,0.00,0.00,3.30,36.01,0.00,0.00,36.01,36.01,0.00,0.00,189.95,1245.24
B4,07/08/2019,Credit 0 days,07/08/2019,21077285,ITC LIMITED,10908613.36,13399831.58,0.00,0.00,100918.24,0.00,0.00,0.00,100918.24,0.00,0.00,24207526.69,G4,7/8/2019,Open,,,,,Intra,33AAACI5950L1ZH,33,33,C33AE20100028575,1000,NAVYCUT FT 10PP_1000,7B8190064T-117,,M_S,70.00,3894.16,3894.16,3894.16,4076.69,100.00,272591.20,272591.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,346715.10,619306.30,2402 20 50
B4,07/08/2019,Credit 0 days,07/08/2019,21077285,ITC LIMITED,10908613.36,13399831.58,0.00,0.00,100918.24,0.00,0.00,0.00,100918.24,0.00,0.00,24207526.69,G4,7/8/2019,Open,,,,,Intra,33AAACI5950L1ZH,33,33,C33AE20100028575,1046,SILKCUT VIRGINIA DSFT NB 10HL_1046,A54190025Y-118,,M_S,12.00,1073.58,1073.58,1073.58,1145.87,40.00,12882.96,12882.96,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,29163.38,42046.34,2402 20 30
B4,07/08/2019,Credit 0 days,07/08/2019,21077285,ITC LIMITED,10908613.36,13399831.58,0.00,0.00,100918.24,0.00,0.00,0.00,100918.24,0.00,0.00,24207526.69,G4,7/8/2019,Open,,,,,Intra,33AAACI5950L1ZH,33,33,C33AE20100028575,1182,FLAKE GOLD CREST NPCT EB 10HL_1182,B54190025Y-119,,M_S,528.00,1768.79,1768.79,1768.79,1860.15,50.00,933921.12,933921.12,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1404321.97,2338243.09,2402 20 30
B4,07/08/2019,Credit 0 days,07/08/2019,21077285,ITC LIMITED,10908613.36,13399831.58,0.00,0.00,100918.24,0.00,0.00,0.00,100918.24,0.00,0.00,24207526.69,G4,7/8/2019,Open,,,,,Intra,33AAACI5950L1ZH,33,33,C33AE20100028575,1504,Classic Double Burst FTK 10BE_1504,769190023Y-120,,M_S,0.40,5581.72,5581.72,5581.72,5841.46,150.00,2232.69,2232.69,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3096.92,5329.61,2402 20 90
B4,07/08/2019,Credit 0 days,07/08/2019,21077285,ITC LIMITED,10908613.36,13399831.58,0.00,0.00,100918.24,0.00,0.00,0.00,100918.24,0.00,0.00,24207526.69,G4,7/8/2019,Open,,,,,Intra,33AAACI5950L1ZH,33,33,C33AE20100028575,1506,SCISSORS FT-NS NB 10BE_1506,AW8190132Y-121,,M_S,264.00,3276.72,3276.72,3276.72,3423.30,80.00,865054.08,865054.08,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1010675.85,1875729.93,2402 20 40
B4,07/08/2019,Credit 0 days,07/08/2019,21077285,ITC LIMITED,10908613.36,13399831.58,0.00,0.00,100918.24,0.00,0.00,0.00,100918.24,0.00,0.00,24207526.69,G4,7/8/2019,Open,,,,,Intra,33AAACI5950L1ZH,33,33,C33AE20100028575,1581,Classic Balanced T FirmFT NB 10 BE_1581,7H6190023X-122,,M_S,1.00,5581.72,5581.72,5581.72,5841.46,150.00,5581.72,5581.72,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,7742.30,13324.02,2402 20 90
B4,07/08/2019,Credit 0 days,07/08/2019,21077285,ITC LIMITED,10908613.36,13399831.58,0.00,0.00,100918.24,0.00,0.00,0.00,100918.24,0.00,0.00,24207526.69,G4,7/8/2019,Open,,,,,Intra,33AAACI5950L1ZH,33,33,C33AE20100028575,1593,Classic Rich T Firm FT FS 20BE_1593,702190006Y-130,,M_S,2.00,5581.72,5581.72,5581.72,5841.46,300.00,11163.44,11163.44,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,15484.60,26648.04,2402 20 90
